NL_Query,GT_Glossary
Can you tell me what was the EBITDA Margin last year?,EBITDA Margin
I'd like to know the EBITDA Margin from the last quarter.,EBITDA Margin
Can you share the EBITDA Margin this month?,EBITDA Margin
Can you provide the EBITDA Margin value for Q1 2025?,EBITDA Margin
How much was the EBITDA Margin in May 2025?,EBITDA Margin
Can you tell me what was the Current Ratio last year?,Current Ratio
How much was the Current Ratio during the last quarter?,Current Ratio
What was the Current Ratio total this month?,Current Ratio
How much was the Current Ratio in Q1 2025?,Current Ratio
What was the Current Ratio value in May 2025?,Current Ratio
Can you tell me what was the Quick Ratio last year?,Quick Ratio (Acid Test)
Tell me the value of Quick Ratio (Acid Test) in the last quarter.,Quick Ratio (Acid Test)
What was the Quick Ratio total this month?,Quick Ratio (Acid Test)
Can you share the Quick Ratio for Q1 2025?,Quick Ratio (Acid Test)
How much was the Quick Ratio in May 2025?,Quick Ratio (Acid Test)
Can you tell me what was the Cash Ratio last year?,Cash Ratio
I'd like to know the Cash Ratio from the last quarter.,Cash Ratio
What was the Cash Ratio total this month?,Cash Ratio
Can you provide the Cash Ratio value for Q1 2025?,Cash Ratio
How much was the Cash Ratio in May 2025?,Cash Ratio
Can you tell me what was the Inventory Turnover last year?,Inventory Turnover
Tell me the value of Inventory Turnover in the last quarter.,Inventory Turnover
What was the Inventory Turnover total this month?,Inventory Turnover
How much was the Inventory Turnover in Q1 2025?,Inventory Turnover
What was the Inventory Turnover value in May 2025?,Inventory Turnover
Can you tell me what was the Receivables Turnover last year?,Receivables Turnover
I'd like to know the Receivables Turnover from the last quarter.,Receivables Turnover
Can you share the Receivables Turnover this month?,Receivables Turnover
Can you provide the Receivables Turnover value for Q1 2025?,Receivables Turnover
How much was the Receivables Turnover in May 2025?,Receivables Turnover
Can you tell me what was the Payables Turnover last year?,Payables Turnover
Give me the Payables Turnover figure for the last quarter.,Payables Turnover
What was the Payables Turnover total this month?,Payables Turnover
How much was the Payables Turnover in Q1 2025?,Payables Turnover
What was the Payables Turnover value in May 2025?,Payables Turnover
Can you tell me what was the Asset Turnover last year?,Asset Turnover
How much was the Asset Turnover during the last quarter?,Asset Turnover
What was the Asset Turnover total this month?,Asset Turnover
Can you share the Asset Turnover for Q1 2025?,Asset Turnover
How much was the Asset Turnover in May 2025?,Asset Turnover
Can you tell me what was the Working Capital Turnover last year?,Working Capital Turnover
I'd like to know the Working Capital Turnover from the last quarter.,Working Capital Turnover
Can you provide the Working Capital Turnover value this month?,Working Capital Turnover
How much was the Working Capital Turnover in Q1 2025?,Working Capital Turnover
What was the Working Capital Turnover value in May 2025?,Working Capital Turnover
Can you tell me what was the Debt-to-Equity Ratio last year?,Debt-to-Equity Ratio
Give me the D/E Ratio figure for the last quarter.,Debt-to-Equity Ratio
What was the Debt-to-Equity Ratio total this month?,Debt-to-Equity Ratio
Can you share the Debt-to-Equity Ratio for Q1 2025?,Debt-to-Equity Ratio
How much was the Debt-to-Equity Ratio in May 2025?,Debt-to-Equity Ratio
Can you tell me what was the Debt Ratio last year?,Debt Ratio
How much was the Debt Ratio during the last quarter?,Debt Ratio
What was the Debt Ratio total this month?,Debt Ratio
Can you provide the Debt Ratio value for Q1 2025?,Debt Ratio
How much was the Debt Ratio in May 2025?,Debt Ratio
Can you tell me what was the Interest Coverage Ratio last year?,Interest Coverage Ratio
Give me the Interest Coverage Ratio figure for the last quarter.,Interest Coverage Ratio
What was the Interest Coverage Ratio total this month?,Interest Coverage Ratio
How much was the Interest Coverage Ratio in Q1 2025?,Interest Coverage Ratio
What was the Interest Coverage Ratio value in May 2025?,Interest Coverage Ratio
Can you tell me what was the Equity Ratio last year?,Equity Ratio
Tell me the value of Equity Ratio in the last quarter.,Equity Ratio
What was the Equity Ratio total this month?,Equity Ratio
Can you share the Equity Ratio for Q1 2025?,Equity Ratio
How much was the Equity Ratio in May 2025?,Equity Ratio
Can you tell me what was the Capital Gearing Ratio last year?,Capital Gearing Ratio
Could you share the Capital Gearing Ratio for the last quarter?,Capital Gearing Ratio
What was the Capital Gearing Ratio total this month?,Capital Gearing Ratio
Can you provide the Capital Gearing Ratio value for Q1 2025?,Capital Gearing Ratio
How much was the Capital Gearing Ratio in May 2025?,Capital Gearing Ratio
Can you tell me what was the Price-to-Earnings (P/E) Ratio last year?,Price-to-Earnings (P/E) Ratio
Can you provide the P/E Ratio amount for the last quarter?,Price-to-Earnings (P/E) Ratio
What was the P/E Ratio total this month?,Price-to-Earnings (P/E) Ratio
How much was the P/E Ratio in Q1 2025?,Price-to-Earnings (P/E) Ratio
What was the P/E Ratio value in May 2025?,Price-to-Earnings (P/E) Ratio
Can you tell me what was the P/B Ratio last year?,Price-to-Book (P/B) Ratio
Tell me the value of Price-to-Book Ratio in the last quarter.,Price-to-Book (P/B) Ratio
What was the Price-to-Book Ratio total this month?,Price-to-Book (P/B) Ratio
Can you share the Price-to-Book Ratio for Q1 2025?,Price-to-Book (P/B) Ratio
How much was the Price-to-Book Ratio in May 2025?,Price-to-Book (P/B) Ratio
Can you tell me what was the Dividend Yield last year?,Dividend Yield
What was the Dividend Yield in the last quarter?,Dividend Yield
Can you provide the Dividend Yield value this month?,Dividend Yield
How much was the Dividend Yield in Q1 2025?,Dividend Yield
What was the Dividend Yield value in May 2025?,Dividend Yield
Can you tell me what was the Dividend Payout Ratio last year?,Dividend Payout Ratio
How much was the Dividend Payout Ratio during the last quarter?,Dividend Payout Ratio
What was the Dividend Payout Ratio total this month?,Dividend Payout Ratio
Can you share the Dividend Payout Ratio for Q1 2025?,Dividend Payout Ratio
How much was the Dividend Payout Ratio in May 2025?,Dividend Payout Ratio
Can you tell me what was the Enterprise Value (EV) last year?,Enterprise Value (EV)
How much was the EV during the last quarter?,Enterprise Value (EV)
What was the Enterprise Value total this month?,Enterprise Value (EV)
Can you provide the Enterprise Value for Q1 2025?,Enterprise Value (EV)
How much was the Enterprise Value in May 2025?,Enterprise Value (EV)
Can you tell me what was the EV/EBITDA last year?,EV/EBITDA
Could you share the EV/EBITDA for the last quarter?,EV/EBITDA
What was the EV/EBITDA total this month?,EV/EBITDA
How much was the EV/EBITDA in Q1 2025?,EV/EBITDA
What was the EV/EBITDA value in May 2025?,EV/EBITDA
"Can you tell me what was the Property, Plant and Equipment (PPE) last year?","Property, Plant and Equipment (PPE)"
Could you share the PPE for the last quarter?,"Property, Plant and Equipment (PPE)"
What was the PPE total this month?,"Property, Plant and Equipment (PPE)"
Can you provide the PPE value for Q1 2025?,"Property, Plant and Equipment (PPE)"
How much was the PPE in May 2025?,"Property, Plant and Equipment (PPE)"
Can you tell me what was the Intangible Assets last year?,Intangible Assets
How much was the Intangible Assets during the last year?,Intangible Assets
What was the Intangible Assets total this year?,Intangible Assets
Can you share the Intangible Assets for Q1 2025?,
",Intangible Assets""",
"
How much was the Intangible Assets in May? 2025?""",Intangible Assets
Can you tell me what was the Investment Property last year?,Investment Property
How much was the Investment Property during the last year?,Investment Property
What was the Investment Property total this year?,Investment Property
Can you share the Investment Property for Q1 2025?,Investment Property
How much was the Investment Property in May 2025?,Investment Property
Can you tell me what was the Financial Assets last year?,Financial Assets
Give me the Financial Assets figure for Q1 2025.,Financial Assets
How much was the Intangible Assets in Q1 2025?,Financial Assets
Can you share the Financial Assets for Q3 2024?,Financial Assets
What was the Financial Assets total this month?,Financial Assets
Can you tell me what was the Inventories last year?,Inventories
Can you provide the Inventories amount for the last quarter?,Inventories
What was the Inventories total this month?,Inventories
How much was the Inventories in Q2 2025?,Inventories
Could you share the Inventories for Q1 2025?,Inventories
Can you tell me what was the Deferred Tax Assets last year?,Deferred Tax Assets
I'd like to know the Deferred Tax Assets from the last quarter.,Deferred Tax Assets
How much was the Deferred Tax Assets in Q4 2024?,Deferred Tax Assets
What was the total Deferred Tax Assets this year?,Deferred Tax Assets
Can you share the Deferred Tax Assets for Q1 2025?,Deferred Tax Assets
Can you tell me what was the Borrowings last year?,Borrowings
How much was the Borrowings during Q1 2025?,Borrowings
What was the Borrowings total this month?,Borrowings
Can you provide the Borrowings amount for the last quarter?,Borrowings
Could you share the Borrowings for Q2 2025?,Borrowings
Can you tell me what was the Trade Payables last year?,Trade Payables
How much was tha Trade Payables during Q1 2025?,Trade Payables
What was the Trade Payables total this month?,Trade Payables
Can you provide the Trade Payables amount for the last quarter?,Trade Payables
Could you share the Trade Payables for Q2 2025?,Trade Payables
Can you tell me what was the Provisions last year?,Provisions
How much was the Provisions during Q1?,Provisions
What was the Provisions total this year?,Provisions
Can you provide the Provisions amount for Q1 2025?,Provisions
Could you share the Provisions for Q2 2025?,Provisions
Can you tell me what was the Deferred Tax Liabilities last year?,Deferred Tax Liabilities
How much was the Deferred Tax Liabilities during Q1?,Deferred Tax Liabilities
What was the Deferred Tax Liabilities total this year?,Deferred Tax Liabilities
Can you provide the Deferred Tax Liabilities amount for Q1 2025?,Deferred Tax Liabilities
Could you share the Deferred Tax Liabilities for Q2 2025?,Deferred Tax Liabilities
Can you tell me what was the Other Financial Liabilities last year?,Other Financial Liabilities
How much was the Other Financial Liabilities during Q1 2025?,Other Financial Liabilities
What was the Other Financial Liabilities total this month?,Other Financial Liabilities
Can you provide the Other Financial Liabilities value for Q2 2025?,Other Financial Liabilities
Could you share the Other Financial Liabilities for Q1 2025?,Other Financial Liabilities
Can you tell me what was the Share Capital last year?,Share Capital
How much was the Share Capital during Q1?,Share Capital
What was the Share Capital total this year?,Share Capital
Can you provide the Share Capital amount for Q1 2025?,Share Capital
Could you share the Share Capital for Q2 2025?,Share Capital
Can you tell me what was the Other Equity last year?,Other Equity / Reserves & Surplus
How much was the Other Equity in Q1 2025?,Other Equity / Reserves & Surplus
What was the total Other Equity this year?,Other Equity / Reserves & Surplus
Can you provide the Other Equity value for Q2 2025?,Other Equity / Reserves & Surplus
Could you share the Other Equity for Q1 2025?,Other Equity / Reserves & Surplus
Can yu share what was the Assets last year?,Assets
Gimme the Assets figure for last quater?,Assets
Wat was the Assets this month?,Assets
Can u pls tel me Assets from Q1 2025?,Assets
How much was Assets in May 2025?,Assets
Can u tell me what was the Liabilities last year?,Liabilities
Wat was the Liabilities last quater?,Liabilities
Can yu share Liabilities for this month?,Liabilities
I wanna know Liabilities in Q1 2025?,Liabilities
How much was the Liabilities in May 2025?,Liabilities
Can yu share what was the Equity last year?,Equity
Gimme Equity figure for last quater?,Equity
Wat was Equity this month?,Equity
Can u pls tel me Equity from Q1 2025?,Equity
How much was Equity in May 2025?,Equity
Can yu share what was the Current Assets last year?,Current Assets
Tell me Current Assets last quater?,Current Assets
Wat was the Current Assets this month?,Current Assets
Can u tell me Current Assets in Q1 2025?,Current Assets
How much was Current Assets in May 2025?,Current Assets
What's was the Non-Current Assets last quarter?,Non-Current Assets
Can yu share Non-Current Assets last yr?,Non-Current Assets
Wat was Non-Current Assets this month?,Non-Current Assets
I wanna know Non-Current Assets in Q1 2025?,Non-Current Assets
How much was Non-Current Assets in May 2025?,Non-Current Assets
Wat was the Current Liabilities last quarter?,Current Liabilities
Can u tell me Current Liabilities last yr?,Current Liabilities
Gimme Current Liabilities for this month?,Current Liabilities
Can yu share Current Liabilities in Q1 2025?,Current Liabilities
How much was Current Liabilities in May 2025?,Current Liabilities
What's was the Non-Current Liabilities last quarter?,Non-Current Liabilities
Can u pls tel me Non-Current Liabilities last yr?,Non-Current Liabilities
Wat was Non-Current Liabilities this month?,Non-Current Liabilities
Tell me Non-Current Liabilities in Q1 2025?,Non-Current Liabilities
How much was Non-Current Liabilities in May 2025?,Non-Current Liabilities
Can u tell me what was the Working Capital last year?,Working Capital
Gimme Working Capital figure for last quater?,Working Capital
Wat was Working Capital this month?,Working Capital
Can yu share Working Capital in Q1 2025?,Working Capital
How much was Working Capital in May 2025?,Working Capital
Give me Net Worth figure for last quater?,Net Worth
Can u tell me Net Worth last yr?,Net Worth
Wat was the Net Worth this month?,Net Worth
I wanna know Net Worth in Q1 2025?,Net Worth
How much was Net Worth in May 2025?,Net Worth
Can you tell me what is the Revenue last year?,Revenue
Gimme Revenue figure for last quater?,Revenue
Wat was Revenue this month?,Revenue
Can u pls tel me Revenue from Q1 2025?,Revenue
How much was Revenue in May 2025?,Revenue
I wanna know the Cost of Goods Sold (COGS) for the last quarter.,Cost of Goods Sold (COGS)
Can u tell me COGS last yr?,Cost of Goods Sold (COGS)
Wat was the COGS this month?,Cost of Goods Sold (COGS)
Tell me COGS in Q1 2025?,Cost of Goods Sold (COGS)
How much was COGS in May 2025?,Cost of Goods Sold (COGS)
Tell me the Gross Profit last yr?,Gross Profit
Gimme Gross Profit for last quater?,Gross Profit
Wat was Gross Profit this month?,Gross Profit
Can yu share Gross Profit in Q1 2025?,Gross Profit
How much was Gross Profit in May 2025?,Gross Profit
I wanna know the Operating Expenses for the last quarter.,Operating Expenses
Can u tell me Operating Expenses last yr?,Operating Expenses
Wat was Operating Expenses this month?,Operating Expenses
Can u pls tel me Operating Expenses in Q1 2025?,Operating Expenses
How much was Operating Expenses in May 2025?,Operating Expenses
Give me Operating Profit (EBIT) figure for last quater?,Operating Profit (EBIT)
Can yu share EBIT last yr?,Operating Profit (EBIT)
Wat was the Operating Profit this month?,Operating Profit (EBIT)
Tell me EBIT in Q1 2025?,Operating Profit (EBIT)
How much was Operating Profit in May 2025?,Operating Profit (EBIT)
What's was the EBITDA last quarter?,EBITDA
Can u tell me EBITDA last yr?,EBITDA
Wat was EBITDA this month?,EBITDA
Can yu share EBITDA in Q1 2025?,EBITDA
How much was EBITDA in May 2025?,EBITDA
I wanna know the Net Profit (PAT) for the last quarter.,Net Profit (PAT)
Can u pls tel me Net Profit last yr?,Net Profit (PAT)
Wat was Net Profit this month?,Net Profit (PAT)
Tell me Net Profit in Q1 2025?,Net Profit (PAT)
How much was Net Profit in May 2025?,Net Profit (PAT)
Can you pls tel me Earnings Per Share (EPS) from last year?,Earnings Per Share (EPS)
Gimme EPS figure for last quater?,Earnings Per Share (EPS)
Wat was EPS this month?,Earnings Per Share (EPS)
Can yu share EPS in Q1 2025?,Earnings Per Share (EPS)
How much was EPS in May 2025?,Earnings Per Share (EPS)
Give me Operating Cash Flow figure for last quater?,Operating Cash Flow
Can u tell me Operating Cash Flow last yr?,Operating Cash Flow
Wat was Operating Cash Flow this month?,Operating Cash Flow
Tell me Operating Cash Flow in Q1 2025?,Operating Cash Flow
How much was Operating Cash Flow in May 2025?,Operating Cash Flow
Can yu share what was the Investing Cash Flow last year?,Investing Cash Flow
Gimme Investing Cash Flow for last quater?,Investing Cash Flow
Wat was Investing Cash Flow this month?,Investing Cash Flow
Can u pls tel me Investing Cash Flow in Q1 2025?,Investing Cash Flow
How much was Investing Cash Flow in May 2025?,Investing Cash Flow
Can you tell me what is the Financing Cash Flow last year?,Financing Cash Flow
Tell me Financing Cash Flow last quater?,Financing Cash Flow
Wat was Financing Cash Flow this month?,Financing Cash Flow
Can yu share Financing Cash Flow in Q1 2025?,Financing Cash Flow
How much was Financing Cash Flow in May 2025?,Financing Cash Flow
Can you pls tel me Free Cash Flow from last year?,Free Cash Flow
Gimme Free Cash Flow figure for last quater?,Free Cash Flow
Wat was Free Cash Flow this month?,Free Cash Flow
Tell me Free Cash Flow in Q1 2025?,Free Cash Flow
How much was Free Cash Flow in May 2025?,Free Cash Flow
Wat was the Depreciation last quarter?,Depreciation
Can u tell me Depreciation last yr?,Depreciation
Wat was Depreciation this month?,Depreciation
Can yu share Depreciation in Q1 2025?,Depreciation
How much was Depreciation in May 2025?,Depreciation
Tell me the Amortization last yr?,Amortization
Gimme Amortization for last quater?,Amortization
Wat was Amortization this month?,Amortization
Can u pls tel me Amortization in Q1 2025?,Amortization
How much was Amortization in May 2025?,Amortization
Can you pls tel me Accruals from last year?,Accruals
Tell me Accruals last quater?,Accruals
Wat was Accruals this month?,Accruals
Can yu share Accruals in Q1 2025?,Accruals
How much was Accruals in May 2025?,Accruals
Give me Provisions figure for last quater?,Provisions
Can u tell me Provisions last yr?,Provisions
Wat was Provisions this month?,Provisions
Tell me Provisions in Q1 2025?,Provisions
How much was Provisions in May 2025?,Provisions
Wat was the Contingent Liabilities last quarter?,Contingent Liabilities
Can yu share Contingent Liabilities last yr?,Contingent Liabilities
Wat was Contingent Liabilities this month?,Contingent Liabilities
Can u pls tel me Contingent Liabilities in Q1 2025?,Contingent Liabilities
How much was Contingent Liabilities in May 2025?,Contingent Liabilities
What's was the Net Profit Margin last quarter?,Net Profit Margin
Can u tell me Net Profit Margin last yr?,Net Profit Margin
Wat was Net Profit Margin this month?,Net Profit Margin
Tell me Net Profit Margin in Q1 2025?,Net Profit Margin
How much was Net Profit Margin in May 2025?,Net Profit Margin
I wanna know the Return on Assets (ROA) for the last quarter.,Return on Assets (ROA)
Can yu share ROA last yr?,Return on Assets (ROA)
Wat was ROA this month?,Return on Assets (ROA)
Can u pls tel me ROA in Q1 2025?,Return on Assets (ROA)
How much was ROA in May 2025?,Return on Assets (ROA)
Can u tell me what was the Return on Equity (ROE) last year?,Return on Equity (ROE)
Gimme ROE figure for last quater?,Return on Equity (ROE)
Wat was ROE this month?,Return on Equity (ROE)
Tell me ROE in Q1 2025?,Return on Equity (ROE)
How much was ROE in May 2025?,Return on Equity (ROE)
How much was Return on Capital Employed (ROCE) last quater?,Return on Capital Employed (ROCE)
Can u tell me ROCE last yr?,Return on Capital Employed (ROCE)
Wat was ROCE this month?,Return on Capital Employed (ROCE)
Can yu share ROCE in Q1 2025?,Return on Capital Employed (ROCE)
How much was ROCE in May 2025?,Return on Capital Employed (ROCE)
Wat was the EBITDA Margin last quarter?,EBITDA Margin
Can u pls tel me EBITDA Margin last yr?,EBITDA Margin
Wat was EBITDA Margin this month?,EBITDA Margin
Tell me EBITDA Margin in Q1 2025?,EBITDA Margin
How much was EBITDA Margin in May 2025?,EBITDA Margin
Can you pls tel me Current Ratio from last year?,Current Ratio
Gimme Current Ratio for last quater?,Current Ratio
Wat was Current Ratio this month?,Current Ratio
Can yu share Current Ratio in Q1 2025?,Current Ratio
How much was Current Ratio in May 2025?,Current Ratio
Give me Quick Ratio (Acid Test) figure for last quater?,Quick Ratio (Acid Test)
Can u tell me Quick Ratio last yr?,Quick Ratio (Acid Test)
Wat was Quick Ratio this month?,Quick Ratio (Acid Test)
Tell me Quick Ratio in Q1 2025?,Quick Ratio (Acid Test)
How much was Quick Ratio in May 2025?,Quick Ratio (Acid Test)
What's was the Cash Ratio last quarter?,Cash Ratio
Can yu share Cash Ratio last yr?,Cash Ratio
Wat was Cash Ratio this month?,Cash Ratio
Can u pls tel me Cash Ratio in Q1 2025?,Cash Ratio
How much was Cash Ratio in May 2025?,Cash Ratio
Wat was the Inventory Turnover last quarter?,Inventory Turnover
Can u tell me Inventory Turnover last yr?,Inventory Turnover
Wat was Inventory Turnover this month?,Inventory Turnover
Tell me Inventory Turnover in Q1 2025?,Inventory Turnover
How much was Inventory Turnover in May 2025?,Inventory Turnover
I wanna know the Receivables Turnover for the last quarter.,Receivables Turnover
Can yu share Receivables Turnover last yr?,Receivables Turnover
Wat was Receivables Turnover this month?,Receivables Turnover
Can u pls tel me Receivables Turnover in Q1 2025?,Receivables Turnover
How much was Receivables Turnover in May 2025?,Receivables Turnover
Wat was the Payables Turnover last quarter?,Payables Turnover
Can u tell me Payables Turnover last yr?,Payables Turnover
Wat was Payables Turnover this month?,Payables Turnover
Tell me Payables Turnover in Q1 2025?,Payables Turnover
How much was Payables Turnover in May 2025?,Payables Turnover
I wanna know the Asset Turnover for the last quarter.,Asset Turnover
Can yu share Asset Turnover last yr?,Asset Turnover
Wat was Asset Turnover this month?,Asset Turnover
Can u pls tel me Asset Turnover in Q1 2025?,Asset Turnover
How much was Asset Turnover in May 2025?,Asset Turnover
Can you pls tel me Working Capital Turnover from last year?,Working Capital Turnover
Gimme Working Capital Turnover for last quater?,Working Capital Turnover
Wat was Working Capital Turnover this month?,Working Capital Turnover
Tell me Working Capital Turnover in Q1 2025?,Working Capital Turnover
How much was Working Capital Turnover in May 2025?,Working Capital Turnover
Tell me the Debt-to-Equity Ratio last yr?,Debt-to-Equity Ratio
Gimme Debt-to-Equity Ratio for last quater?,Debt-to-Equity Ratio
Wat was Debt-to-Equity Ratio this month?,Debt-to-Equity Ratio
Can yu share Debt-to-Equity Ratio in Q1 2025?,Debt-to-Equity Ratio
How much was Debt-to-Equity Ratio in May 2025?,Debt-to-Equity Ratio
Can u tell me what was the Debt Ratio last year?,Debt Ratio
Tell me Debt Ratio last quater?,Debt Ratio
Wat was Debt Ratio this month?,Debt Ratio
Can u pls tel me Debt Ratio in Q1 2025?,Debt Ratio
How much was Debt Ratio in May 2025?,Debt Ratio
Wat was the Interest Coverage Ratio last quarter?,Interest Coverage Ratio
Can yu share Interest Coverage Ratio last yr?,Interest Coverage Ratio
Wat was Interest Coverage Ratio this month?,Interest Coverage Ratio
Tell me Interest Coverage Ratio in Q1 2025?,Interest Coverage Ratio
How much was Interest Coverage Ratio in May 2025?,Interest Coverage Ratio
How much was Equity Ratio last quater?,Equity Ratio
Can u tell me Equity Ratio last yr?,Equity Ratio
Wat was Equity Ratio this month?,Equity Ratio
Can yu share Equity Ratio in Q1 2025?,Equity Ratio
How much was Equity Ratio in May 2025?,Equity Ratio
Wat was the Capital Gearing Ratio last quarter?,Capital Gearing Ratio
Can u pls tel me Capital Gearing Ratio last yr?,Capital Gearing Ratio
Wat was Capital Gearing Ratio this month?,Capital Gearing Ratio
Tell me Capital Gearing Ratio in Q1 2025?,Capital Gearing Ratio
How much was Capital Gearing Ratio in May 2025?,Capital Gearing Ratio
Tell me the Price-to-Earnings (P/E) Ratio last yr?,Price-to-Earnings (P/E) Ratio
Gimme P/E Ratio for last quater?,Price-to-Earnings (P/E) Ratio
Wat was P/E Ratio this month?,Price-to-Earnings (P/E) Ratio
Can yu share P/E Ratio in Q1 2025?,Price-to-Earnings (P/E) Ratio
How much was P/E Ratio in May 2025?,Price-to-Earnings (P/E) Ratio
Can u tell me what was the Price-to-Book (P/B) Ratio last year?,Price-to-Book (P/B) Ratio
Tell me P/B Ratio last quater?,Price-to-Book (P/B) Ratio
Wat was P/B Ratio this month?,Price-to-Book (P/B) Ratio
Can u pls tel me P/B Ratio in Q1 2025?,Price-to-Book (P/B) Ratio
How much was P/B Ratio in May 2025?,Price-to-Book (P/B) Ratio
I wanna know the Dividend Yield for the last quarter.,Dividend Yield
Can yu share Dividend Yield last yr?,Dividend Yield
Wat was Dividend Yield this month?,Dividend Yield
Tell me Dividend Yield in Q1 2025?,Dividend Yield
How much was Dividend Yield in May 2025?,Dividend Yield
Can yu share what was the Dividend Payout Ratio last year?,Dividend Payout Ratio
Gimme Dividend Payout Ratio for last quater?,Dividend Payout Ratio
Wat was Dividend Payout Ratio this month?,Dividend Payout Ratio
Can u pls tel me Dividend Payout Ratio in Q1 2025?,Dividend Payout Ratio
How much was Dividend Payout Ratio in May 2025?,Dividend Payout Ratio
How much was Enterprise Value (EV) last quater?,Enterprise Value (EV)
Can u tell me EV last yr?,Enterprise Value (EV)
Wat was EV this month?,Enterprise Value (EV)
Tell me EV in Q1 2025?,Enterprise Value (EV)
How much was EV in May 2025?,Enterprise Value (EV)
Wat was the EV/EBITDA last quarter?,EV/EBITDA
Can yu share EV/EBITDA last yr?,EV/EBITDA
Wat was EV/EBITDA this month?,EV/EBITDA
Can u pls tel me EV/EBITDA in Q1 2025?,EV/EBITDA
How much was EV/EBITDA in May 2025?,EV/EBITDA
"Wat was the Property, Plant and Equipment (PPE) last quarter?","Property, Plant and Equipment (PPE)"
Can u tell me PPE last yr?,"Property, Plant and Equipment (PPE)"
Wat was PPE this month?,"Property, Plant and Equipment (PPE)"
Tell me PPE in Q1 2025?,"Property, Plant and Equipment (PPE)"
How much was PPE in May 2025?,"Property, Plant and Equipment (PPE)"
Can you pls tel me Intangible Assets from last year?,Intangible Assets
Gimme Intangible Assets for last quater?,Intangible Assets
Wat was Intangible Assets this month?,Intangible Assets
Can yu share Intangible Assets in Q1 2025?,Intangible Assets
How much was Intangible Assets in May 2025?,Intangible Assets
Give me Investment Property figure for last quater?,Investment Property
Can u tell me Investment Property last yr?,Investment Property
Wat was Investment Property this month?,Investment Property
Tell me Investment Property in Q1 2025?,Investment Property
How much was Investment Property in May 2025?,Investment Property
Tell me the Financial Assets last yr?,Financial Assets
Gimme Financial Assets for last quater?,Financial Assets
Wat was Financial Assets this month?,Financial Assets
Can u pls tel me Financial Assets in Q1 2025?,Financial Assets
How much was Financial Assets in May 2025?,Financial Assets
What's was the Inventories last quarter?,Inventories
Can yu share Inventories last yr?,Inventories
Wat was Inventories this month?,Inventories
Tell me Inventories in Q1 2025?,Inventories
How much was Inventories in May 2025?,Inventories
Wat was the Deferred Tax Assets last quarter?,Deferred Tax Assets
Can u tell me Deferred Tax Assets last yr?,Deferred Tax Assets
Wat was Deferred Tax Assets this month?,Deferred Tax Assets
Can yu share Deferred Tax Assets in Q1 2025?,Deferred Tax Assets
How much was Deferred Tax Assets in May 2025?,Deferred Tax Assets
Wat was the Borrowings last quarter?,Borrowings
Can u pls tel me Borrowings last yr?,Borrowings
Wat was Borrowings this month?,Borrowings
Tell me Borrowings in Q1 2025?,Borrowings
How much was Borrowings in May 2025?,Borrowings
I wanna know the Trade Payables for the last quarter.,Trade Payables
Can yu share Trade Payables last yr?,Trade Payables
Wat was Trade Payables this month?,Trade Payables
Can u pls tel me Trade Payables in Q1 2025?,Trade Payables
How much was Trade Payables in May 2025?,Trade Payables
Can u tell me what was the Deferred Tax Liabilities last year?,Deferred Tax Liabilities
Gimme Deferred Tax Liabilities for last quater?,Deferred Tax Liabilities
Wat was Deferred Tax Liabilities this month?,Deferred Tax Liabilities
Tell me Deferred Tax Liabilities in Q1 2025?,Deferred Tax Liabilities
How much was Deferred Tax Liabilities in May 2025?,Deferred Tax Liabilities
Give me Other Financial Liabilities figure for last quater?,Other Financial Liabilities
Can u tell me Other Financial Liabilities last yr?,Other Financial Liabilities
Wat was Other Financial Liabilities this month?,Other Financial Liabilities
Can yu share Other Financial Liabilities in Q1 2025?,Other Financial Liabilities
How much was Other Financial Liabilities in May 2025?,Other Financial Liabilities
Can u tell me what was the Share Capital last year?,Share Capital
Tell me Share Capital last quater?,Share Capital
Wat was Share Capital this month?,Share Capital
Can u pls tel me Share Capital in Q1 2025?,Share Capital
How much was Share Capital in May 2025?,Share Capital
Can you tell me what is the Other Equity / Reserves & Surplus last year?,Other Equity / Reserves & Surplus
Gimme Other Equity for last quater?,Other Equity / Reserves & Surplus
Wat was Other Equity this month?,Other Equity / Reserves & Surplus
Can yu share Other Equity in Q1 2025?,Other Equity / Reserves & Surplus
How much was Other Equity in May 2025?,Other Equity / Reserves & Surplus
